taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w,wordcount
هي ديه كانت جملة تدريبية؟,9.0,,practice,ديه هي جملتك التدريبية الأولى.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
هي ديه كمان كانت جملة تدريبية؟,9.0,,practice,و ديه جملة تنية للتدريب.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,,,practice,مهم انك تخلي رأسك ثابتة الوقت كلة.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,,,practice,ومن فضلك حاول مترمش لما تشوف الجمل.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
هو ممكن ترمش و الجملة على الشاشة؟,7.0,,practice,ممكن الرمش بعد الجملة وأثناء الأسئلة!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,,,practice,ولازم كمان تحاول تسترخي قدر الإمكان.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
هو يمكن تبص للجنب؟,7.0,,practice,حافظ على تركيز عينيك على الصندوق الموجود في النص.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,,,practice,وحاول تخلي وشك مسترخي.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,,,practice,خذ لحظة عشان تسأل أي أسئلة.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
هو حيكون في جمل تدريبية تنية؟,7.0,,practice,ده هو المثال الأخير للجمل.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
هو الرسام بيتمرن في المعهد؟,7.0,1.0,BVA.76,كل رسام صبور بيمرن نفسه في الورشة.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,congruent.01,أنثى الفرخة اسمها دجاجة.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4
,,1.0,NP.16,كل عروسة جديدة بتدلع العريس قبل الفرح.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
,,1.0,BA.31,لما هو كان في المستشفى الدكتور عالج العيان.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
هو كان في اجتماع امبارح؟,9.0,1.0,in-situ.01,‏هو كان المدير الجديد عايز ايه في الاجتماع امبارح؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,Control.46,لما أنا كنت في الموقع المهندس راجع التصميم.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,yn.38,هو كانت المذيعة اللطيفة بتكلم الفنانة على الراديو الصبح؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,RA.60,السواء الاوبر بيراجع نفسه قبل الرحلة.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
هي الممرضة نصحت الدكتور؟,7.0,1.0,BA.1,لما هي كانت في المستشفى الممرضة نصحت العيان.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,NP.45,كل مسلمة ملتزمة بتفكر عشان الصلاة.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,6
,,1.0,yn.26,هو كانت الست المستعجلة نسيت التليفون في البيت فوق؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,Control.16,لما أنا كنت في الجنينة الفلاحة ترضت الولاد.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,in-situ.02,‏هو كان الفنان الموهوب رسم مين في اللوحة المشهورة؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,incongruent.46,ندى سخنت ببرونة اللبن بتاعت الشغل.,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,6
هو كان في مسابقة في المدرسة؟,9.0,1.0,cleft.63,ايه الي كانت الرسامه المبدعة بترسمه في المسابقة المدرسية؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,RA.30,الرياضية المبتدأه بتهيأ نفسها قبل التمرين.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,congruent.16,القطة متغطية بفرو أبيض.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4
,,1.0,cleft.61,مين الي كانت الست الطيبة بتساعده في غرفة الطارئ؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,incongruent.31,بعد ما اتسرق اتصل الضحية بالكيلومتر.,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,BVA.01,كل طالبة مجتهدة بتكافئ نفسها بعد الامتحان.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,1.0,cleft.62,مين الي كانت البنت النشيطة بتارضه في جنينة الحي؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,BVA.76,كل رياضي مهتم بيحسن نفسه قبل المسابقة.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
هي الدكتورة بتشتغل في المستشفى؟,9.0,1.0,NP.17,كل دكتورة كبيرة بتعالج المرضى في المستشفى.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
,,1.0,in-situ.03,هو كان المذيع السياسي بينتقد مين في المقابلة الأخيرة؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,congruent.17,نيويورك مدينة مزعجة و زحمة.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,5
,,1.0,yn.39,هو كانت الملكة العادله بتفضل الاقدم من الوزرة الملكين؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,RA.62,الموسيقار الحساس بيسمع نفسه في التسجيلات.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
هو الولد كان قاعد ساكت؟,7.0,1.0,cleft.65,ايه الي كان الولد الشقي بيكسره في أوضة اللعب؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,BA.2,لما هي كانت في الحضانة المدرسة علمت الاطفال.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,in-situ.06,هو كانت االطالبة المجتهدة بتذاكر ايه من المواد الصعبة؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,Control.47,لما أنا كنت في المكتب المحاسب راجع الحسابات.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,RA.31,المحاسبة الجديدة بتعلم نفسها عشان التفوق.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
هي الطباخة علمت المحترفين؟,7.0,1.0,Control.17,لما أنا كنت في المطبخ الطباخة علمت المبتدئين.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,yn.27,هو كانت المدرسة البشوشه تغني النشيد في الطابور الصبح؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,incongruent.47,سيف ملى القلم باللبن.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,4
,,1.0,BVA.02,كل رياضية أولمبية بتشوف نفسها في الجرنان.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,NP.46,كل موظف شقيان بيكافئ المساعدين بعد المشروع.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
,,1.0,incongruent.32,بعد العشا هما غسلوا الجنينة.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,5
,,1.0,BA.32,لما هو كان في الموقع المهندس لاحظ الفورمن.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
هي مريم غسلت سنانها؟,9.0,1.0,congruent.02,مريم بتغسل سنانها بعد كل وجبة.,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,6
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,1.0,congruent.18,رحمة وزنت نفسها على ميزان الحمام.,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,6
هي المسافرة كانت جاهزة؟,9.0,1.0,RA.32,المسافرة المتحمسة بتجهز نفسها قبل الرحلة.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,Control.48,لما أنا كنت في العمليات الدكتور كسر الجهاز.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,NP.47,كل ممثل مشهور بيشوف الزملاء في المسلسلات.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
هو كريم كان بيكنس؟,9.0,1.0,incongruent.48,كريم كنس الأرض بأجتماع.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,4
,,1.0,BA.3,لما هي كانت في الجنينة الناني فسحت الولاد.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,BVA.03,كل مرشدة سياحية بتصور نفسها عند الاثار.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,incongruent.33,كل الكواكب بيلفو حولين الارقام.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,5
,,1.0,NP.61,كل محامية متوترة بتراجع المتهم قبل الجلسة.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
,,1.0,cleft.67,ايه الي كان التاجر الغني بيشتريه من سوق الذهب؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,BVA.78,كل متسلق خبير بيرتب نفسه قبل التسلق.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
هو أحمد بيريح بعد الرياضة؟,7.0,1.0,congruent.03,قبل ممارسة الرياضة أحمد بيمدد عضلاته.,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,6
,,1.0,in-situ.08,هو كان الولد الصغير كسب ايه في مسابقة الرسم؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,Control.18,لما أنا كنت في الفصل المدرسة هزأت الطلاب.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,yn.40,هو كانت المراسلة المهمة وصلت الخادم من سكان القصر؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,BA.33,لما هو كان في المطار الطيار قابل المضيفة.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,in-situ.04,هو كان الاب الفخور بيشجع مين في ماتش الكورة؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
هو المحامية كانت جبانة؟,7.0,1.0,yn.28,هو كانت المحامية الجريئة بتعرض الحقيقه في جلسة المحكمه؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,RA.63,الراجل اللغني بيدلع نفسة بعد الشغل.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,cleft.64,مين الي كانت الست العجوزة مستنياه في العيادة الزحمة؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,1.0,RA.64,الصيدلي العيان بيعالج نفسه في الصيدلية.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
هي المضيفة اهملت المسافرين؟,7.0,1.0,BA.4,لما هي كانت علي الطيارة المضيفة ساعدت المسافرين.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,yn.29,هو كان الممرض القلوق بيراجع الحالات ابل النبطشية الجيه؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,BVA.79,كل اب غايب بيلوم نفسه على الغياب.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
هي المرشحة القت خطاب؟,9.0,1.0,in-situ.10,هو كانت الوزيرة المرشحة بتقترح ايه في خطبها الاخير؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,incongruent.34,بلال حط صلصة على المرض.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,5
,,1.0,Control.49,لما أنا كنت في المحطة الضابط حل القضية.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,NP.48,كل راقص متمرس بيصور المدرب في التمارين.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
,,1.0,cleft.68,ايه الي كان الطباخ المحترف بيجزه في المطبخ الجديد؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
هو جمانة كذابة؟,7.0,1.0,congruent.04,أختي جمانة مبتعرفش تكذب.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4
,,1.0,NP.18,كل مريضة متوترة بتطمن الدكتور بعد العلاج.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
,,1.0,congruent.19,أدم وقع وسلخ ركبته.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4
,,1.0,BVA.04,كل شيف محترفة بتأكل نفسها من الأكل.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,yn.41,هو كانت الكوفايرة المتمرسة بتعتبر الاطفال من الزباين المزعجين.,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,incongruent.49,هي لبست جزمة بكعب ختم.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,5
,,1.0,BA.34,لما هو كان في المحكمة القاضي عاقب المجرم.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,cleft.66,مين الي كان الصياد الشجاع بينقذه من نص البحر؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
هو الصيدلانية صرفت الادوية؟,9.0,1.0,Control.19,لما أنا كنت في المستشفى الصيدلانية صرفت الادوية.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,in-situ.05,هو كان السباح المتحمس بينافس مين في البطولة الافريقية؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,RA.33,العالمة الحريصة بتحمي نفسها قبل التجارب.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,1.0,in-situ.11,هو كانت الساحرة الشريرة بتخطط ايه في الكتاب المشوق؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,RA.65,السواق الجديد بيفكر نفسه قبل الامتحان.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,yn.42,هو كان المحاسب المشغول عين مساعد عشان يخفف الضغط؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,BA.5,لما هي كانت في المكتب السكرتيرة نظمت المستندات.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
هي المحامية خسرت القضية؟,9.0,1.0,RA.34,المحامية المهمله بتلوم نفسها على الخساره.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,congruent.20,اتسمت على اسم ولدتها.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4
,,1.0,in-situ.07,هو كان المخرج الاجنبي بيكلم مين عن الفلم الجديد؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,BVA.80,كل مجرم سفاح بيخبي نفسه من المباحث.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
هي الحادثة آذيت المهندس؟,9.0,1.0,yn.30,هو كان المهندس المصاب شايل البضاعه ابل الحادثه الكبيرة؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,BA.35,لما هو كان في الشغل السواق وصل الزبون.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,congruent.05,مالك كتب فصل في الكتاب.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,5
,,1.0,cleft.71,مين الي كان المشجع المتحمس بيشجعه في بطولة الرماية؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
هو البحار كان في بيته؟,7.0,1.0,Control.50,لما أنا كنت في المينا البحار جهز المركب.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,NP.49,كل طفل صغير بيأكل القطة في الحضانة.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
,,1.0,cleft.69,ايه الي كان المغني المشهور بيغنىيه في الحفلة النهردة؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,NP.19,كل جراحة حريصة بتحفز الممرضين قبل العملية.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
هي عملت بطاطس؟,7.0,1.0,incongruent.50,هي تبلة الستيك بالفلفل الشنطة.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,5
,,1.0,BVA.05,كل بنت عطشانة بتشرب نفسها من الكوباية.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,Control.20,لما أنا كنت في العمليات الممرضة ساعدت الدكتور.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,incongruent.35,نورا محبوبة من كل نورها.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,5
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
هو الجار رفض الهدية؟,7.0,1.0,yn.31,هو كان الجار الودود اخد هدية من الجران الجداد؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,NP.20,كل ممثلة قديرة بتكرر الشخصية في الأدوار.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
,,1.0,BA.36,لما هو كان في المدرسة الناظر عاقب الطلاب.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,incongruent.36,أثناء الكورة جو لوى فلوسه.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,5
هي المذيعة بتشتغل في الاستوديو؟,9.0,1.0,BA.6,لما هي كانت في الاستوديو المذيعة حيت الجمهور.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,BVA.81,كل مريض معدي بيحبس نفسه في الحجر.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,congruent.21,الموظف ملا العربية بنزين.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4
,,1.0,Control.51,لما أنا كنت في الملعب المدرب علم اللعيبة.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,cleft.70,ايه الي كان الدكتور المشغول بيعالجه في عيادة العظام؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,incongruent.51,السنة الدراسية بتبدأ في الجسر.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,5
,,1.0,RA.66,المهندس الذكي بيجهز نفسه قبل المشروع.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,in-situ.09,هو كانت البطلة الشجاعة بتحارب مين في آخر رواية؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,NP.50,كل اهوجي تعبان بيشرب الزباين من القهوة.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
,,1.0,Control.21,لما أنا كنت في المعرض الرسامه عرضت اللوح.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
هي الام راحت الابتدائية؟,9.0,1.0,cleft.72,مين الي كانت الأم الحنونة بتحضنه في المدرسة الابتدائية؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,congruent.06,خلال الفيلم اكلنا فشار بالزبدة.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,5
,,1.0,yn.43,هو كان الجد الحنون بيحضن الولد عشان يبطل عياط؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,BVA.06,كل وزيرة جديدة بتكلم نفسها ابل الخطاب.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,in-situ.12,هو كانت الدكتورة الجامعية بتناقش ايه في المؤتمر العلمي؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
هي الطفلة قبلت العقاب؟,7.0,1.0,RA.35,الطفلة الشقيه بتخبي نفسها من العقاب.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,1.0,in-situ.17,هو كانت اللاعبة التعبانة بتنافس مين في المتش الاخير؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,congruent.07,إيمان حطت كورنفلكس في البولة.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,5
,,1.0,NP.51,كل مذيع شاطر بيكلم المخرج عشان يتمرن.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
هو العالم درس في القاهرة؟,7.0,1.0,in-situ.13,هو كان العالم المعاصر دارس ايه في جامعة الاسكندرية؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,BA.37,لما هو كان في العاصمة الوزير قابل الرئيس.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,BVA.82,كل موظف ناجح بيتعب نفسه عشان النجاح.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,cleft.81,مين الي كان الولد الضايع بيضربه في المول الكبير؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,BA.7,لما هي كانت في اللوكيشن الممثلة خالفت الكاتب.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,cleft.73,ايه الي كان الولد الصغير بيشتريه من الدكان العصر؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,Control.22,لما أنا كنت في المسرح الممثلة مثلت الدور.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,yn.44,هو كان الجراح الخبير بيعالج الكبتن من الفريق الوطني؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,congruent.22,الولاد سعدو رانيا تصلح عربيتها.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,5
هي الست شجاعة؟,9.0,1.0,BVA.07,كل ست شجاعة بتحب نفسها في المجتمع.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,incongruent.37,كل يوم اتنين الجنايني بيقص الخزنة.,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,RA.67,العجوز الحكيم بيعلم نفسه من الحياة.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
هو المصور زار الغابة؟,9.0,1.0,yn.32,هو كان المصور الطموح بيصور الغابة عشان يطور الاستوديو؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,RA.36,الممرضه المصابة بتحبس نفسها في المستشفى.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,incongruent.52,حنفية الحمام بدأت مكتبة.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,4
,,1.0,Control.52,لما أنا كنت في المكتب المدير نظم الاجتماعات.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
هي الخياطة بترفض التطور؟,7.0,1.0,NP.21,كل خياطة معروفة بتور المبتدئين عشان الزباين.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
هو الأب قطع الديك الرومي؟,9.0,1.0,incongruent.38,الأب قطع الديك الرومي بشارع.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,5
,,1.0,cleft.83,مين الي كانت العجوزة العصبية بتهزءه في سوق القماش؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,NP.52,كل مغني مغرور بيحب الجمهور في الاستعراض.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
