taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w,wordcount
,,1.0,BA.38,لما هو كان في البيت الكهربائي حاسب الاب.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,RA.37,الملكة المخلصة بتحسن نفسها عشان الشعب.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
هو المدير كان بيكتب الملاحظات؟,7.0,1.0,Control.23,لما أنا كنت في الأجتماع السكرتيره كتبت الملاحظات.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,yn.45,هو كان الحرامي المسجون سارئ الدكتور من سكان الكمبوند؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,BVA.08,كل مسجونة ندمانة بتسامح نفسها بعد الخروج.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,incongruent.53,المركب عدت بسهولة من تحت الدقيقة.,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,BVA.83,كل طالب متوتر بيطمن نفسه بعد المذاكرة.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,in-situ.21,هو كان البلوجر الغيور فضح مين في البوست الطويل؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,NP.22,كل طالبة مجتهده بينتقد المدرسة بعد الحصة,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
هي الشيف برنمجها مباشر؟,9.0,1.0,in-situ.14,هو كانت الشيف المحبوبة طبخة ايه في البرنامج المباشر؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,Control.53,لما أنا كنت في المطار الطيار جهز الطاقم.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,RA.68,المدرس المضغوط بيريح نفسة بعد الامتحانات.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,congruent.23,السماد الزراعي بيقوي التربة.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4
,,1.0,cleft.74,ايه الي كان الكهربائي الكويس بيصلحه في محل الالكترونيات؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
هي الست قبلت الاسعار؟,7.0,1.0,BA.8,لما هي كانت في السوق الخياطة فاصلت البياع.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,yn.46,هو كان المذيع اللبق بيسأل الضيوف على الاذاعة الصباحية؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,congruent.08,عمر كتبلها جواب حب.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,1.0,incongruent.54,المدخن المتهور سبب حريقة في الرعد.,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,yn.48,هو كان الطالب الشاطر بيذاكر الرياضة في مكتبة الجامعة؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,NP.53,كل ولد غلطان بيسامح الاهل بعد العقاب.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
,,1.0,yn.47,هو كانت البنت التعبانة بتنادي الشيخ في مسجد المحطه؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,incongruent.39,فريد حط الدودة على القاموس.,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,5
هي المديرة كانت فشلة؟,7.0,1.0,RA.38,المديره المهتمه بتريح نفسها بعد النجاح.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,BA.39,لما هو كان في المطعم الشيف اكل الويتر.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,NP.23,كل ام مقصره بتعاقب الولاد على التقصير.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
هو المدرب كان عطشان؟,9.0,1.0,cleft.75,ايه الي كان المدرب العطشان بيشربه في ملعب الكوره؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,congruent.09,اشترى سجادة مسحتها من الحيطة للحيطة.,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,BVA.84,كل مدير مهموم بيهلك نفسه عشان النجاح.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,in-situ.23,هو كان البيطري الشاطر عالج مين من مرضة العيادة؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,Control.24,لما أنا كنت في الجنينة الشغالة لعبت الاولاد.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,congruent.24,الأم  رضعت المولود الجديد.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4
,,1.0,in-situ.15,هو كان البقال العجوز بيبيع ايه في محلة الصغير؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,RA.69,الغطاس القديم بيحمي نفسه من الخطر.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,Control.54,لما أنا كنت في الاستوديو المنتج ضبط المشهد.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
هي دكتورة جامعية بتدرس؟,9.0,1.0,BVA.09,كل دكتورة جامعية بتعاين نفسها بعد المحاضرة.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,cleft.84,مين الي كان الراجل البخيل يبفاصله في محل العطور؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
هو الحرامي متشفش؟,7.0,1.0,BA.9,لما هي كانت في البيت الشغالة شافت الحرامي.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,1.0,BA.10,لما هي كانت في المدرسة الام ودعت الولاد.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,cleft.85,مين الي كان المدرس الشديد بيهزءه في الصف الصبح؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,incongruent.55,المحاضرة مفروض تكون حوالي ساعة فضاء.,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,6
هي المعلمة تقرأ في المكتبه؟,9.0,1.0,cleft.76,ايه الي كانت المعلمة الذكية بتقراه في المكتبه الهادية؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,BVA.85,كل دكتور حريص بيعقم نفسه قبل العمليات.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,in-situ.24,هو كان الراجل المحترم بيحب مين من بنات الجيران؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,incongruent.40,هو اشتراها من محل الضغط.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,5
,,1.0,Control.55,لما أنا كنت في الطوارئ الجراح انقذ العجوز.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,NP.54,كل موظف مركز بينتقد الفريق بعد المشروع.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
هو العرض كان في متحف؟,7.0,1.0,Control.25,لما أنا كنت في العرض المصممه عرضت التصاميم.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,BVA.10,كل مديرة طموحا بترشح نفسها عشان المركز.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,yn.49,هو كان الشخص العيان مستني الدكتور في المستشفى الصغيرة؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,BA.40,لما هو كان في المعمل العالم علم المساعد.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,NP.24,كل دكتورة تجميل بتجمل المرضى عشان التسويق.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
هو اسمي كان في اللستة؟,9.0,1.0,congruent.10,حطيت اسمي في اللستة.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4
,,1.0,RA.70,الباريستا المحترف بيتور نفسه عشان الزباين.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,yn.50,هو كانت الست المستعجله بتشوف العصاير في السوبرماركت الجديد؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,congruent.25,عازف الؤرج عزف مع مغنين الكنيسة.,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,6
هي المستشارة بتهمل شغلها؟,7.0,1.0,RA.39,المستشاره المتعمقة بتهلك نفسها عشان العميل.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,in-situ.16,هو كانت الام المرتبة بتحضر ايه في البيت الجديد؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,1.0,congruent.26,عربيات السباق تلقت العلم الي عليه مربعات.,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,7
,,1.0,NP.55,كل سياسي جاهز بيرشح المرشح عشان الانتخابات.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
هو الحكم رفض الرشوة؟,7.0,1.0,in-situ.18,هو كان الحكم المرتشي غير ايه في البطوله العالميه؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,cleft.86,مين الي كان الممثل المشهور بينافسه في الاوسكار الاخير؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,BVA.86,كل سواق مشتت بيعاتب نفسه بعد الحادثة.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,incongruent.41,هو فك الكرفتة الي حولين حصانه.,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,6
هو المغنية بتشجع نفسها؟,9.0,1.0,BVA.11,كل مغنية مشهورة بتشجع نفسها قبل الاستعراض.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,yn.52,هو كان الراجل القوي بيساعد المصابين في مكان الحادثة؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,incongruent.56,الخنزير نام في الدرج.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,4
,,1.0,Control.56,لما أنا كنت في البيت الكهربائي صلح النور.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,BA.41,لما هو كان في المستشفى الجراح كلم الممرضة.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,RA.40,القائدة المهتمه بتعاتب نفسها بعد الفشل.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,in-situ.33,هو كان الكاتب المثقف بيترجم مين من الكتاب الكبار.,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
هي المصورة بتعلم؟,9.0,1.0,NP.25,كل مصورة مبدعة بتدرب المتعلمين على الزوايا.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
,,1.0,cleft.77,ايه الي كان الولد الكسلان بيتابعه على تلفزيون الصالة؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,Control.26,لما أنا كنت في الطيارة المضيفة جابت الأكل.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,RA.71,المجرم الجريئ بيهيئ نفسه قبل الجريمة.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
هو انا بحب الكيك مع الشي؟,7.0,1.0,congruent.11,أنا بحب الكيك مع الآيس كريم.,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,BA.11,لما هي كانت في المطبخ الطباخة كلمت السواق.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,yn.51,هو كانت الام المشغوله بتطبخ الغدا في المطبخ الخارجي؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,1.0,cleft.78,ايه الي كان المصور الفنان بيصوره علي مسرح القاعة؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,BA.42,لما هو كان في المكتب المحامي جاب المتهم.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
هو الام كانت هادية؟,7.0,1.0,BVA.12,كل أم قلوقة بتحاسب نفسها علي الحوادث.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,in-situ.34,هو كانت الموظفة الشقيانة بتساعد مين في المشروع المتأخر؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,incongruent.42,هو بعت الجواب من غير سلم.,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,BVA.87,كل ممثل مغرور بيمدح نفسه بعد العرض.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
هو الساندوتش كان ساندوتش جبنة بالزتون؟,9.0,1.0,congruent.12,أنا طلبة ساندوتش جبنة بالزتون.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,5
,,1.0,yn.53,هو كانت البنت الجعانة مستنية الجرسون في المطعم الهندي؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,Control.57,لما أنا كنت في المؤتمر السفير القى كلمة.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,cleft.87,مين الي كان الشاعر المعروف بيغازله في المهرجان الصيفي؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
هو المغنية بتهيء الفرقه؟,9.0,1.0,NP.26,كل مغنية مشهوره بتهيء الفرقه قبل الحفلة.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
,,1.0,Control.27,لما أنا كنت في المكتب المترجمة ترجمة الوثائق.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,in-situ.19,هو كان المخرج الفرنسي بيعرض ايه في المختمع العربي؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,incongruent.57,جرا الرياضي اخر ربع صيد.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,5
,,1.0,RA.72,الممثل المتحمس بيحفز نفسه قبل المسرحيه.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
هو الطالب حل الواجب في البيت؟,7.0,1.0,yn.54,هو كان الطالب المشغول بيحل الواجب في قاعة المدرسة؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,BA.12,لما هي كانت في الصالون الكوافيرة ظبطت الزبونة.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,NP.56,كل رياضي متحمس بيعاين الفريق بعد المباراة.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
,,1.0,congruent.27,المركب اختفت في الشبورة الكثيفة.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,5
,,1.0,RA.41,المربية المسؤوله بتحمل نفسها عشان الولاد.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,1.0,incongruent.58,الشتا كان قاسي اوي المية.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,5
هو الرسامة بترسم نفسها؟,9.0,1.0,BVA.13,كل رسامة معروفة بترسم نفسها عشان تتشهر.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,cleft.88,مين الي كان العجوز الطيب بيساعده في السوبرماركت؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,8
,,1.0,BA.13,لما هي كانت في البيت الداية ساعدت الام.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,RA.73,المبرمج المحترف بيدرب نفسه على البروجرام.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
هو الولد كان شجاع؟,7.0,1.0,yn.58,هو كان الولد الخايف سامع اصوات في البيت المسكون؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,in-situ.35,هو كانت البنت المتأخرة مستنيه مين عشان يجهز؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,8
,,1.0,Control.28,لما أنا كنت في القاعة المنظمة جهزت الزينة.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,RA.42,الرياضة الحريفة بتشجع نفسها عشان تكسب.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,cleft.79,ايه الي كان الرسام المحترف بيرسمه علي الحطان؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,8
هو الحارس ضيع الهربنين؟,7.0,1.0,Control.58,لما أنا كنت في السجن الحارس مسك الهربنين.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,congruent.13,مصطفى طلب همبرغر و بطاطس.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,5
,,1.0,NP.57,كل مجرم مسجون بيحاسب المحامي على الحبسة.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
,,1.0,in-situ.20,هو كان الطباخ المهمل عمل ايه عشان يتؤف فجأه؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,congruent.28,الولد الصغير شاط الكورة.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4
,,1.0,yn.55,هو كان السواق المشتت خبط الحاجز في الباركنج الزحمة؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,BVA.88,كل شيف محترف بيطور نفسه في المطعم.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,incongruent.43,جزمتها الجديدة مقاسها سنة.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,4
هي المدرسة كانت مجتهدة؟,9.0,1.0,NP.27,كل مدرسة مجتهدة بترتب الطلاب قبل الحصص.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
,,1.0,BA.43,لما هو كان في الورشة النجار درب المساعد.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,1.0,Control.29,لما أنا كنت في الاستوديو المذيعة قدمة النشرة.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,RA.43,المحامية الشغوفه بتطور نفسها عشان القضايا.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
هو االقبطان شتم الطقم؟,7.0,1.0,BA.44,لما هو كان علي المركب القبطان شجع التقم.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,incongruent.59,الجنينة اتدمرت بسبب المكنسة.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,4
,,1.0,yn.59,هو كانت المستشارة المتسامحة بتشرح السياسات في أوضة الاجتماعات؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,NP.58,كل ولد صغير بيرسم الام في الرسمة,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
,,1.0,BA.14,لما هي كانت في الورشة الرسامة نقدت الفنان.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,in-situ.36,هو كانت الصحفية العنيدة بتعارض مين في المقال النهاردة؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,RA.74,الممرض المنتبه بينظف نفسه بين الشفتات.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
هو التاجر بيشتغل في سوق الخضار؟,9.0,1.0,cleft.80,ايه الي كان التاجر النصاب يبيعه في سوق الخضار؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,Control.59,لما أنا كنت في الجيم المدرب مرن المتسابقين.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,congruent.14,كارما صحت بعد حلم وحش.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,5
,,1.0,cleft.89,مين الي كانت العميلة المزعجة بتهزءه على الخط الاساسي؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
هو الطفلة بتأكل القطة؟,7.0,1.0,NP.28,كل طفلة صغيرة بتأكل العروسة عشان تتعلم.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
,,1.0,in-situ.22,هو كانت الخياطة الشاترة بطرز ايه عشان العروسة الجميلة؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,BVA.14,كل ممرضة مبتدئة بتتحدى نفسها في الشغل.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,yn.56,هو كان المدير القاسي بيطرد الموظف في اجتماع الشغل؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
هو انا بشرب سجاير؟,9.0,1.0,incongruent.44,أنا عموما بدخن سجاير الطاقة.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,5
,,1.0,BVA.89,كل مبتدئ مهتم بيغير نفسه عشان التطور.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,congruent.29,هما ربو الخنازير في مزرعتهم.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,5
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,1.0,in-situ.37,هو كانت الشاعرة الحساسة بتوصف مين في الديوان المشهور؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,congruent.15,المتسكل ممكن يعمل دوشة.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4
,,1.0,NP.59,كل كاتب محبوب بيتحدى الشخصياة عشان يتحسن.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
هو المريضة كانت جعانة؟,9.0,1.0,in-situ.25,هو كانت المريضة الجعانة بتاكل ايه عشان تتحسن حلتها؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,Control.60,لما أنا كنت في المصنع النجار عمل ترابيزة.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,RA.75,الشخص الجبان بيشجع نفسه قبل المواجهة.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,incongruent.45,من سوء الحظ المشي تحت المراكب.,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,6
هو كان الطالب الذكي بيحل الواجب؟,7.0,1.0,yn.60,هو كان الطالب الذكي بيحل الامتحان في قاعة الامتحان؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
,,1.0,BA.45,لما هو كان في القسم الضابط حيا النقيب.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,cleft.90,مين الي كان المراهق الشيطان بيضربه في شارع الحي؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
,,1.0,BVA.15,كل ممثلة صوتية بتسمع نفسها في الافلام.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,BA.15,لما هي كانت في الكنيسة الراهبة كلمت البابا.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8
,,1.0,congruent.30,امبارح هما جديفو المركب في النهر.,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,6
هو الممثلة كانت بتغير نفسها للدور؟,9.0,1.0,RA.44,الممثلة المخلصة بتغير نفسها عشان الدور.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
,,1.0,incongruent.60,بيسخنو البسين بالطاقة الفلفلية.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,4
,,1.0,BVA.90,كل مدمن متعالج بيعاقب نفسه عشان الغلط.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7
,,1.0,cleft.82,ايه الي كانت الست الرغايه بتقوله في عزومة العيلة؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9
هو الخياطة قطعت الفستان؟,7.0,1.0,Control.30,لما أنا كنت في المشغل الخياطة جهز الفستان.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8
,,1.0,NP.29,كل رسامة مبهرة بتنظف الولاد بعد الرسم.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
,,1.0,yn.57,هو كان الراجل الشبعان مستني السواق عند كاشير المطعم؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9
